zm_dump_2011,1780999454,,,"4,0",


date,categoryName,payee,comment,outcomeAccountName,outcome,outcomeCurrencyShortTitle,incomeAccountName,income,incomeCurrencyShortTitle,createdDate,changedDate
1970-01-01,Correction,,"Account balance auto-adjustment",,,,"VTB credit","101832,96",RUB,"2025-11-19 11:31:17","2026-06-09 07:36:25"
1970-01-01,Correction,,"Account balance auto-adjustment","Tinkoff credit","1683,20",RUB,,,,"2025-11-19 11:31:42","2026-06-09 07:36:25"
1970-01-01,Correction,,"Account balance auto-adjustment",,,,"Citi credit 3","218195,42",RUB,"2025-11-19 11:31:55","2026-06-09 07:36:25"
1970-01-01,Correction,,"Account balance auto-adjustment",,,,"Citi credit 2","594424,33",RUB,"2025-11-19 11:32:47","2026-06-09 07:36:25"
2013-09-30,"Finances / Profits",,,,,,"QB Middle","15679,85",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2013-11-11,"Finances / Profits",,,,,,"QB Middle","143,06",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2013-12-10,"Finances / Profits",,,,,,"QB Middle","400,66",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2014-01-10,"Finances / Profits",,,,,,"QB Middle","451,34",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2014-02-10,"Finances / Profits",,,,,,"QB Middle","409,62",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2014-03-11,"Finances / Profits",,,,,,"QB Middle","407,38",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2014-04-11,"Finances / Profits",,,,,,"QB Middle","401,88",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2014-05-12,"Finances / Profits",,,,,,"QB Middle","460,59",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2014-06-10,"Finances / Profits",,,,,,"QB Middle","485,55",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2014-07-10,"Finances / Profits",,,,,,"QB Middle","532,05",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2014-08-13,"Finances / Profits",,,,,,"QB Middle","326,50",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2014-09-11,"Finances / Profits",,,"QB Middle","792,75",USD,,,,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2014-10-14,"Finances / Profits",,,,,,"QB Middle","456,08",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2014-11-10,"Finances / Profits",,,,,,"QB Middle","440,56",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2014-12-11,"Finances / Profits",,,,,,"QB Middle","521,22",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2014-12-27,"Finances / Profits",,,,,,"QB Middle","5680,90",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2015-01-13,"Finances / Profits",,,,,,"QB Middle","437,97",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2015-02-13,"Finances / Profits",,,,,,"QB Middle","413,56",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2015-03-10,"Finances / Profits",,,,,,"QB Middle","567,30",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2015-04-10,"Finances / Profits",,,,,,"QB Middle","676,18",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2015-05-12,"Finances / Profits",,,,,,"QB Middle","568,75",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2015-05-18,Life,,,"Citi credit 2","674403,82",RUB,,,,"2015-12-11 16:21:27","2020-06-13 10:59:23"
2015-06-10,"Finances / Profits",,,"QB Middle","896,46",USD,,,,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2015-06-18,,,,"₽ Tinkoff Debit","11427,00",RUB,"Citi credit 2","11427,00",RUB,"2015-12-11 17:41:57","2015-12-11 13:48:37"
2015-07-10,"Finances / Profits",,,,,,"QB Middle","592,21",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2015-08-12,"Finances / Profits",,,,,,"QB Middle","506,42",USD,"2016-01-11 14:12:56","2016-01-14 07:37:09"
2015-08-14,,,,"₽ Tinkoff Debit","11417,49",RUB,"Citi credit 2","11417,49",RUB,"2015-12-11 17:42:17","2015-12-11 13:48:37"
2015-09-01,"Food & Drink / Groceries",,,"Home credit","2068,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-01,"Finances / Profits",,,,,,VPB,"0,28",RUB,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-01,,,,"₽ Cash","15000,00",RUB,"₽ Tinkoff Debit","15000,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:23:35"
2015-09-01,"Finances / Salary",,,,,,"₽ Cash","16880,00",RUB,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-01,"Finances / Salary",,,,,,"₽ Tinkoff Debit","10000,00",RUB,"2015-12-11 17:00:21","2016-03-06 15:43:54"
2015-09-02,"Payments / Connection",,,"Home credit","300,00",RUB,,,,"2015-12-11 17:00:21","2015-12-11 14:00:21"
2015-09-03,,,,"₽ Cash","8000,00",RUB,"₽ Tinkoff Debit","8000,00",RUB,"2015-12-11 17:00:21","2015-12-15 04:07:25"
2015-09-03,,,"КК Хомяк","₽ Tinkoff Debit","20000,00",RUB,"Home credit","20000,00",RUB,"2015-12-11 17:00:21","2017-07-27 20:30:50"
