id,date,type,amount,currency,amount_base,account_id,category_ids,to_account_id,to_amount,to_currency,debt_ref_id,comment,created_at,updated_at
txn_cb6a689cbce8,2021-12-31,income,100.74,EUR,100.74,acc_6095ddfb9f0d,,,0,,,Opening balance correction,2021-12-31T23:59:59.000Z,2021-12-31T23:59:59.000Z
txn_a4c7ca7e0b25,2021-12-31,income,0.01,EUR,0.01,acc_53cbdd5e80a9,,,0,,,Opening balance correction,2021-12-31T23:59:59.000Z,2021-12-31T23:59:59.000Z
txn_3f54e3b5b415,2021-12-31,income,19531.00,RUB,0,acc_0af0a27c37f0,,,0,,,Opening balance correction,2021-12-31T23:59:59.000Z,2021-12-31T23:59:59.000Z
txn_81c76b4d127f,2021-12-31,income,7190.73,RUB,0,acc_1865128d98f4,,,0,,,Opening balance correction,2021-12-31T23:59:59.000Z,2021-12-31T23:59:59.000Z
txn_ad5b5509ce70,2021-12-31,income,86341.84,RUB,0,acc_5406da8ff21c,,,0,,,Opening balance correction,2021-12-31T23:59:59.000Z,2021-12-31T23:59:59.000Z
txn_e868fec4f36e,2021-12-31,income,2225731.41,RUB,0,acc_72b12e885ea7,,,0,,,Opening balance correction,2021-12-31T23:59:59.000Z,2021-12-31T23:59:59.000Z
txn_7cd6976db668,2022-01-02,expense,493,RUB,5.6,acc_1865128d98f4,cat_7b334b726036,,0,,,,2022-01-02T07:23:57.000Z,2022-01-02T04:24:02.000Z
txn_3dc4d80c6cb2,2022-01-06,expense,3800,RUB,43.18,acc_1865128d98f4,cat_bf4e28785ab0,,0,,,,2022-01-06T19:00:30.000Z,2022-02-17T13:06:43.000Z
txn_e79076812165,2022-01-07,income,59100.98,RUB,671.6,acc_1865128d98f4,,,0,,,← Tinkoff Saving,2022-01-07T12:20:18.000Z,2022-01-07T09:20:48.000Z
txn_2ba465606ba6,2022-01-07,transfer,10858,RUB,123.39,acc_72b12e885ea7,,acc_1865128d98f4,10858,RUB,,,2022-01-07T12:55:31.000Z,2022-01-07T09:55:52.000Z
txn_82eb7c43b0a9,2022-01-07,expense,117.5,RUB,1.34,acc_1865128d98f4,cat_cd2158f023ff,,0,,,ЖКХ ТКО,2022-01-07T13:45:24.000Z,2022-01-07T10:45:56.000Z
txn_ac8ca9fc3df4,2022-01-07,expense,1936.51,RUB,22.01,acc_1865128d98f4,cat_cd2158f023ff,,0,,,ЖКХ,2022-01-07T13:45:46.000Z,2022-01-07T10:45:56.000Z
txn_2aafd82b51d2,2022-01-07,expense,77000,RUB,875,acc_1865128d98f4,,,0,,,КК Восточный [→ Halva],2022-01-07T13:51:18.000Z,2022-01-07T10:51:20.000Z
txn_c954cb299634,2022-01-10,expense,8500,RUB,96.59,acc_0af0a27c37f0,cat_555bf8344ca0,,0,,,Стоматолог,2022-01-11T19:22:40.000Z,2022-01-14T11:21:18.000Z
txn_984cd736933d,2022-01-14,transfer,15465.52,RUB,175.74,acc_72b12e885ea7,,acc_1865128d98f4,15465.52,RUB,,,2022-01-14T12:40:53.000Z,2022-01-14T09:41:01.000Z
